Time (s),Ay (m/sÂ²)
4.670000076,-8.677366257
4.679999828,-8.843111038
4.690000057,-9.066867828
4.699999809,-9.285718918
4.710000038,-9.501097679
4.71999979,-9.747759819
4.730000019,-10.04257011
4.739999771,-10.55800247
4.75,-11.33716011
4.760000229,-12.20889282
4.769999981,-13.07011509
4.78000021,-13.74647331
4.789999962,-14.03749561
4.800000191,-14.05698395
4.809999943,-13.90407944
4.820000172,-13.63639927
4.829999924,-13.26121235
4.840000153,-12.94414425
4.849999905,-12.49203682
4.860000134,-12.00771427
4.869999886,-11.62940693
4.880000114,-11.04819965
4.889999866,-10.55090237
4.900000095,-10.1062727
4.909999847,-9.52393055
4.920000076,-9.027750969
4.929999828,-8.609083176
4.940000057,-8.067085266
4.949999809,-7.544177532
4.960000038,-7.010640144
4.96999979,-6.469872475
4.980000019,-5.938425064
4.989999771,-5.485482693
5,-5.110171795
5.010000229,-4.700451374
5.019999981,-4.227623463
5.03000021,-3.754351616
5.039999962,-3.39625001
5.050000191,-3.004118919
5.059999943,-2.687510252
5.070000172,-2.461878061
5.079999924,-2.230669975
5.090000153,-2.002822161
5.099999905,-1.850801229
5.110000134,-1.713033676
5.119999886,-1.652143955
5.130000114,-1.604845047
5.139999866,-1.601559639
5.150000095,-1.655879855
5.159999847,-1.74088037
5.170000076,-1.850184917
5.179999828,-1.989673495
5.190000057,-2.125761032
5.199999809,-2.310266495
5.210000038,-2.560785294
5.21999979,-2.843616247
5.230000019,-3.10195303
5.239999771,-3.554372072
5.25,-3.938757181
5.260000229,-4.294231415
5.269999981,-4.826647282
5.28000021,-5.204002857
5.289999962,-5.652160168
5.300000191,-6.090079784
5.309999943,-6.45923996
5.320000172,-6.810331345
5.329999924,-7.12998867
5.340000153,-7.585698128
5.349999905,-8.064399719
5.360000134,-8.70195961
5.369999886,-9.342372894
5.380000114,-9.901402473
5.389999866,-10.4073534
5.400000095,-10.83170319
5.409999847,-11.20818043
5.420000076,-11.62876892
5.429999828,-11.90245533
5.440000057,-12.29957771
5.449999809,-12.58150005
5.460000038,-12.88179398
5.46999979,-13.24278164
5.480000019,-13.54923725
5.489999771,-13.76422691
5.5,-13.99619198
5.510000229,-14.13486767
5.519999981,-14.27418518
5.53000021,-14.30449104
5.539999962,-14.31789875
5.550000191,-14.28388691
5.559999943,-14.19917202
5.570000172,-14.11365414
5.579999924,-14.01056862
5.590000153,-13.88883591
5.599999905,-13.7128849
5.610000134,-13.48748302
5.619999886,-13.24343109
5.630000114,-12.99761295
5.639999866,-12.67754936
5.650000095,-12.33338737
5.659999847,-11.90456867
5.670000076,-11.42839909
5.679999828,-10.97431755
5.690000057,-10.61507225
5.699999809,-10.21820927
5.710000038,-9.847058296
5.71999979,-9.381046295
5.730000019,-8.931880951
5.739999771,-8.513279915
5.75,-8.198379517
5.760000229,-7.757502079
5.769999981,-7.311784744
5.78000021,-6.920972824
5.789999962,-6.440764904
5.800000191,-5.978674412
5.809999943,-5.563764572
5.820000172,-5.190294743
5.829999924,-4.79105711
5.840000153,-4.43469429
5.849999905,-4.072000027
5.860000134,-3.737228155
5.869999886,-3.333576202
5.880000114,-3.042060375
5.889999866,-2.813709974
5.900000095,-2.649545431
5.909999847,-2.492577553
5.920000076,-2.391830683
5.929999828,-2.277282
5.940000057,-2.263842583
5.949999809,-2.290995359
5.960000038,-2.342775822
5.96999979,-2.445334911
5.980000019,-2.555739403
5.989999771,-2.657119513
6,-2.802048445
6.010000229,-2.929359436
6.019999981,-3.137365341
6.03000021,-3.356528997
6.039999962,-3.642503977
6.050000191,-3.946928024
6.059999943,-4.309203625
6.070000172,-4.786109447
6.079999924,-5.239796638
6.090000153,-5.6428442
6.099999905,-6.089508057
6.110000134,-6.444736004
6.119999886,-6.749207497
6.130000114,-7.162503719
6.139999866,-7.486265182
6.150000095,-7.807185173
6.159999847,-8.189056396
6.170000076,-8.687861443
6.179999828,-9.205552101
6.190000057,-9.792919159
6.199999809,-10.32200241
6.210000038,-10.79209805
6.21999979,-11.07291889
6.230000019,-11.37031746
6.239999771,-11.66143036
6.25,-11.94683743
6.260000229,-12.2489109
6.269999981,-12.62654018
6.28000021,-12.88027287
6.289999962,-13.11141396
6.300000191,-13.26695251
6.309999943,-13.41960335
6.320000172,-13.53394127
6.329999924,-13.6354599
6.340000153,-13.68368435
6.349999905,-13.68200016
6.360000134,-13.62075901
6.369999886,-13.52980709
6.380000114,-13.43616581
6.389999866,-13.32542801
6.400000095,-13.22199535
6.409999847,-13.08722019
6.420000076,-12.92228413
6.429999828,-12.77286148
6.440000057,-12.52907658
6.449999809,-12.24428082
6.460000038,-11.95860863
6.46999979,-11.56968975
6.480000019,-11.23516464
6.489999771,-10.83062267
6.5,-10.49921894
6.510000229,-10.13390541
6.519999981,-9.72287178
6.53000021,-9.390003204
6.539999962,-9.024280548
6.550000191,-8.589504242
6.559999943,-8.148039818
6.570000172,-7.685469627
6.579999924,-7.232406139
6.590000153,-6.843558311
6.599999905,-6.42383194
6.610000134,-6.065010548
6.619999886,-5.670691013
6.630000114,-5.331933975
6.639999866,-5.012928486
6.650000095,-4.75716877
6.659999847,-4.510790348
6.670000076,-4.217825413
6.679999828,-3.946202755
6.690000057,-3.713801861
6.699999809,-3.495554924
6.710000038,-3.310873508
6.71999979,-3.143483639
6.730000019,-3.010712862
6.739999771,-2.926159143
6.75,-2.919238567
6.760000229,-2.975692272
6.769999981,-3.058351755
6.78000021,-3.151744127
6.789999962,-3.253720522
6.800000191,-3.356673002
6.809999943,-3.466064215
6.820000172,-3.602942944
6.829999924,-3.768703461
6.840000153,-3.963163614
6.849999905,-4.232274055
6.860000134,-4.520179749
6.869999886,-4.799711704
6.880000114,-5.096468925
6.889999866,-5.35377121
6.900000095,-5.630067825
6.909999847,-5.985237598
6.920000076,-6.359956741
6.929999828,-6.70296526
6.940000057,-7.075807095
6.949999809,-7.389087677
6.960000038,-7.700009823
6.96999979,-8.061943054
6.980000019,-8.517875671
6.989999771,-8.906410217
7,-9.256099701
7.010000229,-9.699227333
7.019999981,-10.10623741
7.03000021,-10.43483162
7.039999962,-10.88940716
7.050000191,-11.25444508
7.059999943,-11.53639221
7.070000172,-11.82006645
7.079999924,-11.98237896
7.090000153,-12.13915062
7.099999905,-12.35756016
7.110000134,-12.50751305
7.119999886,-12.73003006
7.130000114,-12.96012783
7.139999866,-13.04551411
7.150000095,-13.11054993
7.159999847,-13.05970097
7.170000076,-12.98536491
7.179999828,-12.89790154
7.190000057,-12.78303909
7.199999809,-12.66799068
7.210000038,-12.58067131
7.21999979,-12.45470428
7.230000019,-12.2821312
7.239999771,-12.07563972
7.25,-11.8573246
7.260000229,-11.65254307
7.269999981,-11.40248013
7.28000021,-11.12896347
7.289999962,-10.86345005
7.300000191,-10.57507038
7.309999943,-10.23350906
7.320000172,-9.917766571
7.329999924,-9.586125374
7.340000153,-9.241021156
7.349999905,-8.815168381
7.360000134,-8.474389076
7.369999886,-8.086941719
7.380000114,-7.616954803
7.389999866,-7.142112732
7.400000095,-6.770801544
7.409999847,-6.384170532
7.420000076,-6.192470074
7.429999828,-5.976603031
7.440000057,-5.681946754
7.449999809,-5.45245409
7.460000038,-5.142195225
7.46999979,-4.867276192
7.480000019,-4.639540195
7.489999771,-4.426290035
7.5,-4.169232845
7.510000229,-4.030502796
7.519999981,-3.874767065
7.53000021,-3.722943068
7.539999962,-3.668920994
7.550000191,-3.590843201
7.559999943,-3.556578159
7.570000172,-3.602947235
7.579999924,-3.673006773
7.590000153,-3.756326675
7.599999905,-3.857233286
7.610000134,-3.970776796
7.619999886,-4.074056149
7.630000114,-4.21344614
7.639999866,-4.396852016
7.650000095,-4.616705418
7.659999847,-4.79228878
7.670000076,-5.043179989
7.679999828,-5.307458878
7.690000057,-5.505487919
7.699999809,-5.742557526
7.710000038,-6.105046749
7.71999979,-6.384958744
7.730000019,-6.717953682
7.739999771,-7.122903347
7.75,-7.446583271
7.760000229,-7.72513628
7.769999981,-7.986678123
7.78000021,-8.267073631
7.789999962,-8.599599838
7.800000191,-8.940885544
7.809999943,-9.30474472
7.820000172,-9.675836563
7.829999924,-9.997359276
7.840000153,-10.32872009
7.849999905,-10.65925884
7.860000134,-10.87236881
7.869999886,-11.14993572
7.880000114,-11.3468504
7.889999866,-11.57166672
7.900000095,-11.71649933
7.909999847,-11.91963673
7.920000076,-12.06394291
7.929999828,-12.17021179
7.940000057,-12.28013992
7.949999809,-12.35038471
7.960000038,-12.4003334
7.96999979,-12.39103794
7.980000019,-12.35168171
7.989999771,-12.27280712
8,-12.14380455
8.010000229,-12.02213764
8.020000458,-11.90086651
8.029999733,-11.79892826
8.039999962,-11.67364693
8.050000191,-11.5472765
8.06000042,-11.3708849
8.069999695,-11.16259384
8.079999924,-10.91352367
8.090000153,-10.65420437
8.100000381,-10.40695572
8.109999657,-10.14920425
8.119999886,-9.927786827
8.130000114,-9.669128418
8.140000343,-9.376969337
8.149999619,-9.100828171
8.159999847,-8.794133186
8.170000076,-8.42970562
8.180000305,-8.162537575
8.18999958,-7.86160183
8.199999809,-7.52873373
8.210000038,-7.200977325
8.220000267,-6.863611698
8.229999542,-6.523035526
8.239999771,-6.248281956
8.25,-5.961606979
8.260000229,-5.763626099
8.270000458,-5.512010574
8.279999733,-5.324652672
8.289999962,-5.132502079
8.300000191,-4.912184238
8.31000042,-4.799325943
8.319999695,-4.657589436
8.329999924,-4.508159161
8.340000153,-4.428146362
8.350000381,-4.328332424
8.359999657,-4.258933544
8.369999886,-4.267853737
8.380000114,-4.303253651
8.390000343,-4.373615742
8.399999619,-4.438411713
8.409999847,-4.497540951
8.420000076,-4.568445206
8.430000305,-4.673160076
8.43999958,-4.798159599
8.449999809,-4.940110683
8.460000038,-5.069462776
8.470000267,-5.29115963
8.479999542,-5.463939667
8.489999771,-5.630604267
8.5,-5.867453098
8.510000229,-6.182233334
8.520000458,-6.502714157
8.529999733,-6.845798016
8.539999962,-7.163362503
8.550000191,-7.433458328
8.56000042,-7.601157188
8.569999695,-7.801584244
8.579999924,-8.028253555
8.590000153,-8.330073357
8.600000381,-8.649952888
8.609999657,-8.981864929
8.619999886,-9.272912979
8.630000114,-9.590849876
8.640000343,-9.790844917
8.649999619,-9.983074188
8.659999847,-10.29029083
8.670000076,-10.50575161
8.680000305,-10.7144804
8.68999958,-10.94100285
8.699999809,-11.04407787
8.710000038,-11.17245865
8.720000267,-11.3034029
8.729999542,-11.44272518
8.739999771,-11.59336376
8.75,-11.7063446
8.760000229,-11.78404522
8.770000458,-11.7818737
8.779999733,-11.72404194
8.789999962,-11.63700485
8.800000191,-11.54262638
8.81000042,-11.43255424
8.819999695,-11.34892368
8.829999924,-11.2904892
8.840000153,-11.18443871
8.850000381,-11.07730865
8.859999657,-10.94303703
8.869999886,-10.80650139
8.880000114,-10.6381855
8.890000343,-10.450387
8.899999619,-10.26900196
8.909999847,-10.04234314
8.920000076,-9.822246552
8.930000305,-9.597982407
8.93999958,-9.353330612
8.949999809,-9.128035545
8.960000038,-8.880279541
8.970000267,-8.639843941
8.979999542,-8.366031647
8.989999771,-8.156271935
9,-7.878865719
9.010000229,-7.602346897
9.020000458,-7.297660828
9.029999733,-7.044873238
9.039999962,-6.736703396
9.050000191,-6.461052895
9.06000042,-6.269584179
9.069999695,-6.096644402
9.079999924,-5.922622681
9.090000153,-5.764000893
9.100000381,-5.631307602
9.109999657,-5.458831787
9.119999886,-5.343577385
9.130000114,-5.189804554
9.140000343,-5.057687283
9.149999619,-4.952766895
9.159999847,-4.900862217
9.170000076,-4.849500179
9.180000305,-4.87515831
9.18999958,-4.926337242
9.199999809,-4.984312057
9.210000038,-5.037531853
9.220000267,-5.118497372
9.229999542,-5.198574066
9.239999771,-5.287617683
9.25,-5.396538734
9.260000229,-5.511888504
9.270000458,-5.627063274
9.279999733,-5.763548374
9.289999962,-5.916196346
9.300000191,-6.054891109
9.31000042,-6.223588943
9.319999695,-6.39375639
9.329999924,-6.64470911
9.340000153,-6.850274563
9.350000381,-7.100394249
9.359999657,-7.341694832
9.369999886,-7.543931484
9.380000114,-7.752850056
9.390000343,-8.064457893
9.399999619,-8.309831619
9.409999847,-8.608483315
9.420000076,-8.890637398
9.430000305,-9.077296257
9.43999958,-9.326559067
9.449999809,-9.519118309
9.460000038,-9.77107811
9.470000267,-9.960728645
9.479999542,-10.12049294
9.489999771,-10.27236271
9.5,-10.40349388
9.510000229,-10.54049587
9.520000458,-10.67415905
9.529999733,-10.78722286
9.539999962,-10.87367535
9.550000191,-10.9513483
9.56000042,-11.02584171
9.569999695,-11.10016537
9.579999924,-11.10567093
9.590000153,-11.06737137
9.600000381,-11.00307751
9.609999657,-10.91691685
9.619999886,-10.81965542
9.630000114,-10.76165771
9.640000343,-10.69507694
9.649999619,-10.6081543
9.659999847,-10.53410816
9.670000076,-10.44505787
9.680000305,-10.30907726
9.68999958,-10.17460155
9.699999809,-10.03990936
9.710000038,-9.875695229
9.720000267,-9.66291523
9.729999542,-9.489375114
9.739999771,-9.301413536
9.75,-9.085030556
9.760000229,-8.907664299
9.770000458,-8.705385208
9.779999733,-8.496375084
9.789999962,-8.291954041
9.800000191,-8.070179939
9.81000042,-7.834396839
9.819999695,-7.645182133
9.829999924,-7.427444935
9.840000153,-7.212701321
9.850000381,-6.990064621
9.859999657,-6.777138233
9.869999886,-6.562808514
9.880000114,-6.407299519
9.890000343,-6.252404213
9.899999619,-6.107734203
9.909999847,-5.976511955
9.920000076,-5.825284481
9.930000305,-5.735836506
9.93999958,-5.654780388
9.949999809,-5.592137337
9.960000038,-5.527210712
9.970000267,-5.463487625
9.979999542,-5.425332546
9.989999771,-5.433468819
10,-5.48739624
10.01000023,-5.566156387
10.02000046,-5.661946774
10.02999973,-5.747390747
10.03999996,-5.796039581
10.05000019,-5.873336792
10.06000042,-5.963922501
10.06999969,-6.054645538
10.07999992,-6.167532921
10.09000015,-6.344272137
10.10000038,-6.481482029
10.10999966,-6.657523155
10.11999989,-6.858055115
10.13000011,-7.049759865
10.14000034,-7.202053547
10.14999962,-7.36107254
10.15999985,-7.559834957
10.17000008,-7.697282791
10.18000031,-7.947430611
10.18999958,-8.239318848
10.19999981,-8.441461563
10.21000004,-8.624595642
10.22000027,-8.78418541
10.22999954,-8.863981247
10.23999977,-8.994865417
10.25,-9.16437149
10.26000023,-9.368697166
10.27000046,-9.593645096
10.27999973,-9.706461906
10.28999996,-9.864308357
10.30000019,-9.983521461
10.31000042,-10.0871706
10.31999969,-10.18162727
10.32999992,-10.30451965
10.34000015,-10.38903046
10.35000038,-10.43924904
10.35999966,-10.48729134
10.36999989,-10.52238369
10.38000011,-10.48689556
10.39000034,-10.43548393
10.39999962,-10.39330006
10.40999985,-10.33520699
10.42000008,-10.27961731
10.43000031,-10.23435402
10.43999958,-10.18074703
10.44999981,-10.11568737
10.46000004,-10.022995
10.47000027,-9.910731316
10.47999954,-9.782139778
10.48999977,-9.650812149
10.5,-9.520557404
10.51000023,-9.384796143
10.52000046,-9.261398315
10.52999973,-9.128295898
10.53999996,-8.990499496
10.55000019,-8.855005264
10.56000042,-8.713003159
10.56999969,-8.541982651
10.57999992,-8.368929863
10.59000015,-8.218184471
10.60000038,-8.061284065
10.60999966,-7.881975174
10.61999989,-7.740234852
10.63000011,-7.552994728
10.64000034,-7.362364769
10.64999962,-7.173064709
10.65999985,-7.016591072
10.67000008,-6.878392696
10.68000031,-6.729459286
10.68999958,-6.633347988
10.69999981,-6.534559727
10.71000004,-6.46309185
10.72000027,-6.334374428
10.72999954,-6.229968548
10.73999977,-6.175978184
10.75,-6.082830906
10.76000023,-6.067385674
10.77000046,-6.057629108
10.77999973,-6.042703629
10.78999996,-6.077287197
10.80000019,-6.13785696
10.81000042,-6.208168983
10.81999969,-6.28049612
10.82999992,-6.335292816
10.84000015,-6.36561203
10.85000038,-6.414768696
10.85999966,-6.478333473
10.86999989,-6.57618475
10.88000011,-6.675491333
10.89000034,-6.75039196
10.89999962,-6.856798172
10.90999985,-6.972527027
10.92000008,-7.066102982
10.93000031,-7.224217892
10.93999958,-7.35867548
10.94999981,-7.501715183
10.96000004,-7.631549835
10.97000027,-7.795590401
10.97999954,-7.888339996
10.98999977,-8.033144951
11,-8.211206436
11.01000023,-8.339749336
11.02000046,-8.487142563
11.02999973,-8.660490036
11.03999996,-8.762270927
11.05000019,-8.887307167
11.06000042,-9.019580841
11.06999969,-9.144073486
11.07999992,-9.263150215
11.09000015,-9.39282608
11.10000038,-9.51243782
11.10999966,-9.611870766
11.11999989,-9.696453094
11.13000011,-9.78132534
11.14000034,-9.847985268
11.14999962,-9.907842636
11.15999985,-9.931874275
11.17000008,-9.955143929
11.18000031,-9.966148376
11.18999958,-9.926387787
11.19999981,-9.883969307
11.21000004,-9.831154823
11.22000027,-9.768419266
11.22999954,-9.723230362
11.23999977,-9.68706131
11.25,-9.622867584
11.26000023,-9.567490578
11.27000046,-9.515545845
11.27999973,-9.434041977
11.28999996,-9.35363102
11.30000019,-9.267868996
11.31000042,-9.163801193
11.31999969,-9.05652523
11.32999992,-8.944961548
11.34000015,-8.859817505
11.35000038,-8.774905205
11.35999966,-8.652117729
11.36999989,-8.543068886
11.38000011,-8.426098824
11.39000034,-8.269962311
11.39999962,-8.121401787
11.40999985,-8.013319969
11.42000008,-7.879284859
11.43000031,-7.762968063
11.43999958,-7.657028675
11.44999981,-7.53427124
11.46000004,-7.410355568
11.47000027,-7.283978939
11.47999954,-7.161782265
11.48999977,-7.077508926
11.5,-6.9990592
11.51000023,-6.906215191
11.52000046,-6.850460529
11.52999973,-6.783798695
11.53999996,-6.731605053
11.55000019,-6.693321705
11.56000042,-6.644651413
11.56999969,-6.612050533
11.57999992,-6.60569334
11.59000015,-6.605788231
11.60000038,-6.654323101
11.60999966,-6.70971489
11.61999989,-6.77057457
11.63000011,-6.826221943
11.64000034,-6.862280846
11.64999962,-6.904725075
11.65999985,-6.947691917
11.67000008,-6.99132967
11.68000031,-7.051782131
11.68999958,-7.116689205
11.69999981,-7.185676098
11.71000004,-7.256441593
11.72000027,-7.345954895
11.72999954,-7.424487591
11.73999977,-7.508485317
11.75,-7.602759838
11.76000023,-7.697363377
11.77000046,-7.799777031
11.77999973,-7.909154892
11.78999996,-8.037852287
11.80000019,-8.152664185
11.81000042,-8.247846603
11.81999969,-8.346557617
11.82999992,-8.431142807
11.84000015,-8.508584023
11.85000038,-8.602888107
11.85999966,-8.710924149
11.86999989,-8.805511475
11.88000011,-8.893414497
11.89000034,-8.970535278
11.89999962,-9.039403915
11.90999985,-9.098110199
11.92000008,-9.168306351
11.93000031,-9.229804993
11.93999958,-9.292527199
11.94999981,-9.348741531
11.96000004,-9.371609688
11.97000027,-9.39292717
11.97999954,-9.423247337
11.98999977,-9.416144371
12,-9.379481316
12.01000023,-9.331769943
12.02000046,-9.273637772
12.02999973,-9.204877853
12.03999996,-9.153962135
12.05000019,-9.124444962
12.06000042,-9.102502823
12.06999969,-9.052205086
12.07999992,-9.004426003
12.09000015,-8.95570755
12.10000038,-8.895421982
12.10999966,-8.837669373
12.11999989,-8.792509079
12.13000011,-8.73557663
12.14000034,-8.67898941
12.14999962,-8.600934982
12.15999985,-8.505563736
12.17000008,-8.402639389
12.18000031,-8.297692299
12.18999958,-8.211157799
12.19999981,-8.145774841
12.21000004,-8.061769485
12.22000027,-7.975783348
12.22999954,-7.894329071
12.23999977,-7.803153038
12.25,-7.716911316
12.26000023,-7.655905724
12.27000046,-7.613973618
12.27999973,-7.524739742
12.28999996,-7.460856915
12.30000019,-7.40223217
12.31000042,-7.336503029
12.31999969,-7.290366173
12.32999992,-7.256633759
12.34000015,-7.213754654
12.35000038,-7.179749012
12.35999966,-7.145441055
12.36999989,-7.121663094
12.38000011,-7.111326694
12.39000034,-7.109605312
12.39999962,-7.130033016
12.40999985,-7.167607784
12.42000008,-7.215969086
12.43000031,-7.256717682
12.43999958,-7.292602539
12.44999981,-7.31717205
12.46000004,-7.343285561
12.47000027,-7.387490273
12.47999954,-7.43859148
12.48999977,-7.484296799
12.5,-7.526295662
12.51000023,-7.559906006
12.52000046,-7.596072197
12.52999973,-7.645028591
12.53999996,-7.705606461
12.55000019,-7.76405859
12.56000042,-7.838479996
12.56999969,-7.908623219
12.57999992,-7.963866711
12.59000015,-8.039338112
12.60000038,-8.106798172
12.60999966,-8.172016144
12.61999989,-8.249469757
12.63000011,-8.314582825
12.64000034,-8.365460396
12.64999962,-8.410863876
12.65999985,-8.450596809
12.67000008,-8.505272865
12.68000031,-8.571140289
12.68999958,-8.623214722
12.69999981,-8.675585747
12.71000004,-8.730238914
12.72000027,-8.768226624
12.72999954,-8.791989326
12.73999977,-8.851399422
12.75,-8.888706207
12.76000023,-8.894639969
12.77000046,-8.923204422
12.77999973,-8.928873062
12.78999996,-8.923112869
12.80000019,-8.909459114
12.81000042,-8.876540184
12.81999969,-8.835471153
12.82999992,-8.786366463
12.84000015,-8.743606567
12.85000038,-8.719097137
12.85999966,-8.685383797
12.86999989,-8.654891014
12.88000011,-8.626285553
12.89000034,-8.602867126
12.89999962,-8.572758675
12.90999985,-8.544336319
12.92000008,-8.50417614
12.93000031,-8.459544182
12.93999958,-8.406845093
12.94999981,-8.37509346
12.96000004,-8.341690063
12.97000027,-8.311463356
12.97999954,-8.26805687
12.98999977,-8.228796005
13,-8.175387383
13.01000023,-8.126581192
13.02000046,-8.079079628
13.02999973,-8.041678429
13.03999996,-7.978422642
13.05000019,-7.925485611
13.06000042,-7.883938789
13.06999969,-7.842166901
13.07999992,-7.814558983
13.09000015,-7.784060955
13.10000038,-7.751370907
13.10999966,-7.719456196
13.11999989,-7.669847965
13.13000011,-7.634482384
13.14000034,-7.613144398
13.14999962,-7.589466572
13.15999985,-7.577723503
13.17000008,-7.581433773
13.18000031,-7.586017609
13.18999958,-7.594505787
13.19999981,-7.611656189
13.21000004,-7.653544426
13.22000027,-7.699679375
13.22999954,-7.734021664
13.23999977,-7.770255566
13.25,-7.789827347
13.26000023,-7.799024582
13.27000046,-7.805109978
13.27999973,-7.807081699
13.28999996,-7.82947588
13.30000019,-7.855449677
13.31000042,-7.86981678
13.31999969,-7.899764538
13.32999992,-7.951606274
13.34000015,-7.985874653
13.35000038,-8.024227142
13.35999966,-8.051657677
13.36999989,-8.079640388
13.38000011,-8.083422661
13.39000034,-8.088943481
13.39999962,-8.113806725
13.40999985,-8.149805069
13.42000008,-8.184199333
13.43000031,-8.220331192
13.43999958,-8.257460594
13.44999981,-8.282089233
13.46000004,-8.306461334
13.47000027,-8.328302383
13.47999954,-8.343527794
13.48999977,-8.35332489
13.5,-8.383197784
13.51000023,-8.404503822
13.52000046,-8.424703598
13.52999973,-8.450361252
13.53999996,-8.466133118
13.55000019,-8.461539268
13.56000042,-8.466741562
13.56999969,-8.475406647
13.57999992,-8.471553802
13.59000015,-8.462313652
13.60000038,-8.458515167
13.60999966,-8.448643684
13.61999989,-8.421209335
13.63000011,-8.384874344
13.64000034,-8.349486351
13.64999962,-8.319732666
13.65999985,-8.293403625
13.67000008,-8.284468651
13.68000031,-8.282984734
13.68999958,-8.279296875
13.69999981,-8.274330139
13.71000004,-8.274148941
13.72000027,-8.268984795
13.72999954,-8.263319969
13.73999977,-8.246342659
13.75,-8.220797539
13.76000023,-8.204363823
13.77000046,-8.194168091
13.77999973,-8.186431885
13.78999996,-8.195658684
13.80000019,-8.206448555
13.81000042,-8.201441765
13.81999969,-8.18187809
13.82999992,-8.160577774
13.84000015,-8.140972137
13.85000038,-8.126877785
13.85999966,-8.115068436
13.86999989,-8.10200119
13.88000011,-8.09428215
13.89000034,-8.079435349
13.89999962,-8.043604851
13.90999985,-8.011911392
13.92000008,-7.988858223
13.93000031,-7.971772671
13.93999958,-7.975885868
13.94999981,-8.002954483
13.96000004,-8.02534771
13.97000027,-8.040420532
13.97999954,-8.045895576
13.98999977,-8.050515175
14,-8.064157486
14.01000023,-8.080601692
14.02000046,-8.099551201
14.02999973,-8.121938705
14.03999996,-8.147961617
14.05000019,-8.166138649
14.06000042,-8.178986549
14.06999969,-8.185804367
14.07999992,-8.189303398
14.09000015,-8.189969063
14.10000038,-8.184782028
14.10999966,-8.180944443
14.11999989,-8.180412292
14.13000011,-8.177859306
14.14000034,-8.174940109
14.14999962,-8.175644875
14.15999985,-8.176038742
14.17000008,-8.174098969
14.18000031,-8.169892311
14.18999958,-8.169383049
14.19999981,-8.168229103
14.21000004,-8.164353371
14.22000027,-8.161790848
14.22999954,-8.161220551
14.23999977,-8.162900925
14.25,-8.167798042
14.26000023,-8.17634201
14.27000046,-8.192873001
14.27999973,-8.208426476
14.28999996,-8.217166901
14.30000019,-8.225784302
14.31000042,-8.227671623
14.31999969,-8.221703529
14.32999992,-8.207597733
14.34000015,-8.190523148
14.35000038,-8.169086456
14.35999966,-8.147121429
14.36999989,-8.138853073
14.38000011,-8.141052246
14.39000034,-8.154742241
14.39999962,-8.173540115
14.40999985,-8.189167976
14.42000008,-8.200690269
14.43000031,-8.197349548
14.43999958,-8.18401432
14.44999981,-8.168642044
14.46000004,-8.152506828
14.47000027,-8.141017914
14.47999954,-8.143575668
14.48999977,-8.15262413
14.5,-8.164855957
14.51000023,-8.176498413
14.52000046,-8.185688019
14.52999973,-8.185254097
14.53999996,-8.180580139
14.55000019,-8.174990654
14.56000042,-8.170989037
14.56999969,-8.166137695
14.57999992,-8.167943954
14.59000015,-8.173153877
14.60000038,-8.180056572